File: DSP-1001660005141-Z-F10, Raw: 16597198, Trimmed: 16466095, Stitched: 16220053, Aligned: 15390178, Deduplicated: 1512556
File: DSP-1001660005141-Z-F11, Raw: 6151494, Trimmed: 6100361, Stitched: 6026710, Aligned: 5682896, Deduplicated: 495446
File: DSP-1001660005141-Z-F12, Raw: 12673951, Trimmed: 12564214, Stitched: 12394298, Aligned: 11415491, Deduplicated: 1116633
File: DSP-1001660005141-Z-G01, Raw: 1880767, Trimmed: 1863456, Stitched: 1838455, Aligned: 1723824, Deduplicated: 168104
File: DSP-1001660005141-Z-G02, Raw: 18542809, Trimmed: 18409841, Stitched: 18176417, Aligned: 17129122, Deduplicated: 1437069
File: DSP-1001660005141-Z-G03, Raw: 9171189, Trimmed: 9094820, Stitched: 8971451, Aligned: 8426768, Deduplicated: 575477
File: DSP-1001660005141-Z-G04, Raw: 17373287, Trimmed: 17222016, Stitched: 16994706, Aligned: 15610615, Deduplicated: 1278265
File: DSP-1001660005141-Z-G05, Raw: 1698015, Trimmed: 1682249, Stitched: 1658713, Aligned: 1570414, Deduplicated: 146473
File: DSP-1001660005141-Z-G06, Raw: 12088092, Trimmed: 11996839, Stitched: 11848156, Aligned: 11300846, Deduplicated: 1393568
File: DSP-1001660005141-Z-G07, Raw: 8050794, Trimmed: 7979323, Stitched: 7873637, Aligned: 7301831, Deduplicated: 614515
File: DSP-1001660005141-Z-G08, Raw: 14320299, Trimmed: 14201447, Stitched: 14025496, Aligned: 12833297, Deduplicated: 1279318
File: DSP-1001660005141-Z-G09, Raw: 2012508, Trimmed: 1996509, Stitched: 1970535, Aligned: 1880910, Deduplicated: 167614
File: DSP-1001660005141-Z-G10, Raw: 18947686, Trimmed: 18797834, Stitched: 18556222, Aligned: 17688381, Deduplicated: 1369343
File: DSP-1001660005141-Z-G11, Raw: 5198434, Trimmed: 5154084, Stitched: 5090479, Aligned: 4865885, Deduplicated: 504612
File: DSP-1001660005141-Z-G12, Raw: 8845572, Trimmed: 8755976, Stitched: 8631085, Aligned: 8066848, Deduplicated: 959525
File: DSP-1001660005141-Z-H01, Raw: 998518, Trimmed: 991551, Stitched: 979919, Aligned: 928726, Deduplicated: 61246
File: DSP-1001660005141-Z-H02, Raw: 3604502, Trimmed: 3580593, Stitched: 3543905, Aligned: 3365920, Deduplicated: 451660
File: DSP-1001660005141-Z-H03, Raw: 10288106, Trimmed: 10197324, Stitched: 10073641, Aligned: 9385742, Deduplicated: 803497
File: DSP-1001660005141-Z-H04, Raw: 988680, Trimmed: 980469, Stitched: 968759, Aligned: 921240, Deduplicated: 67769
File: DSP-1001660005141-Z-H05, Raw: 10273142, Trimmed: 10192869, Stitched: 10062657, Aligned: 9584850, Deduplicated: 770217
File: DSP-1001660005141-Z-H06, Raw: 12612453, Trimmed: 12488173, Stitched: 12325700, Aligned: 11574568, Deduplicated: 965216
File: DSP-1001660005141-Z-H07, Raw: 677358, Trimmed: 672742, Stitched: 664723, Aligned: 626153, Deduplicated: 63560
File: DSP-1001660005141-Z-H08, Raw: 3482549, Trimmed: 3457579, Stitched: 3407367, Aligned: 3225572, Deduplicated: 350229
File: DSP-1001660005141-Z-H09, Raw: 11035453, Trimmed: 10946678, Stitched: 10780444, Aligned: 9957331, Deduplicated: 1019698
File: DSP-1001660005141-Z-H10, Raw: 695766, Trimmed: 690625, Stitched: 681498, Aligned: 650280, Deduplicated: 73156
File: DSP-1001660005141-Z-H11, Raw: 9219051, Trimmed: 9140135, Stitched: 9026640, Aligned: 8604273, Deduplicated: 606246
File: DSP-1001660005141-Z-H12, Raw: 16853664, Trimmed: 16693738, Stitched: 16456825, Aligned: 15357027, Deduplicated: 1148693
