File: DSP-1001660005246-Y-A08, Raw: 4088666, Trimmed: 4055024, Stitched: 4004169, Aligned: 3814090, Deduplicated: 515279
File: DSP-1001660005246-Y-A09, Raw: 5487283, Trimmed: 5442515, Stitched: 5374539, Aligned: 5064977, Deduplicated: 602517
File: DSP-1001660005246-Y-A10, Raw: 1582973, Trimmed: 1567750, Stitched: 1546667, Aligned: 1475671, Deduplicated: 142484
File: DSP-1001660005246-Y-A11, Raw: 19489384, Trimmed: 19316833, Stitched: 19079009, Aligned: 18164785, Deduplicated: 2266730
File: DSP-1001660005246-Y-A12, Raw: 4434361, Trimmed: 4391523, Stitched: 4339614, Aligned: 4072347, Deduplicated: 382740
File: DSP-1001660005246-Y-B01, Raw: 8864905, Trimmed: 8790987, Stitched: 8677230, Aligned: 8101798, Deduplicated: 626184
File: DSP-1001660005246-Y-B02, Raw: 1381592, Trimmed: 1369951, Stitched: 1353316, Aligned: 1290916, Deduplicated: 121086
File: DSP-1001660005246-Y-B03, Raw: 13079844, Trimmed: 12989158, Stitched: 12842300, Aligned: 12221820, Deduplicated: 1539373
File: DSP-1001660005246-Y-B04, Raw: 6852217, Trimmed: 6790640, Stitched: 6710217, Aligned: 6372999, Deduplicated: 754738
File: DSP-1001660005246-Y-B05, Raw: 17172657, Trimmed: 17041886, Stitched: 16841216, Aligned: 15780083, Deduplicated: 772672
File: DSP-1001660005246-Y-B06, Raw: 1403797, Trimmed: 1396495, Stitched: 1381760, Aligned: 1318864, Deduplicated: 105379
File: DSP-1001660005246-Y-B07, Raw: 33197680, Trimmed: 32919067, Stitched: 32445777, Aligned: 30996875, Deduplicated: 1483687
File: DSP-1001660005246-Y-B08, Raw: 20880307, Trimmed: 20720056, Stitched: 20489603, Aligned: 19524074, Deduplicated: 762125
File: DSP-1001660005246-Y-B09, Raw: 8634821, Trimmed: 8545444, Stitched: 8428467, Aligned: 7895422, Deduplicated: 720432
File: DSP-1001660005246-Y-B10, Raw: 2847589, Trimmed: 2825310, Stitched: 2793444, Aligned: 2663403, Deduplicated: 147770
File: DSP-1001660005246-Y-B11, Raw: 7824920, Trimmed: 7774024, Stitched: 7687276, Aligned: 7336958, Deduplicated: 769977
File: DSP-1001660005246-Y-B12, Raw: 5333253, Trimmed: 5288080, Stitched: 5220539, Aligned: 4906860, Deduplicated: 918191
File: DSP-1001660005246-Y-C01, Raw: 624734, Trimmed: 619951, Stitched: 609112, Aligned: 578139, Deduplicated: 71704
File: DSP-1001660005246-Y-C02, Raw: 6611403, Trimmed: 6561069, Stitched: 6480340, Aligned: 6129824, Deduplicated: 637066
File: DSP-1001660005246-Y-C03, Raw: 6859969, Trimmed: 6805376, Stitched: 6722802, Aligned: 6272864, Deduplicated: 807926
File: DSP-1001660005246-Y-C04, Raw: 1578250, Trimmed: 1567485, Stitched: 1549564, Aligned: 1469099, Deduplicated: 114744
File: DSP-1001660005246-Y-C05, Raw: 10913301, Trimmed: 10825004, Stitched: 10690145, Aligned: 10114432, Deduplicated: 942567
